tenure,MonthlyCharges,TotalCharges,AvgMonthlyCharge,ChargePerTenure,IsNewCustomer,HighMonthlyCharge,Churn_Probability,Churn_Risk_Percentage,Risk_Level
72,114.05,8468.2,116.00273972602741,116.00273972602741,0,1,0.0033333333333333335,0.33333333333333337,Low Risk
8,100.15,908.55,100.94999999999999,100.94999999999999,1,1,0.7833333333333333,78.33333333333333,High Risk
41,78.35,3211.2,76.45714285714286,76.45714285714286,0,1,0.2733333333333333,27.333333333333332,Low Risk
18,78.2,1468.75,77.30263157894737,77.30263157894737,0,1,0.4166666666666667,41.66666666666667,Medium Risk
72,82.65,5919.35,81.08698630136986,81.08698630136986,0,1,0.0033333333333333335,0.33333333333333337,Low Risk
21,99.85,1992.55,90.57045454545454,90.57045454545454,0,1,0.8933333333333333,89.33333333333333,High Risk
21,99.15,1956.4,88.92727272727274,88.92727272727274,0,1,0.7266666666666667,72.66666666666667,High Risk
19,24.1,439.2,21.96,21.96,0,0,0.1,10.0,Low Risk
61,19.75,1311.6,21.154838709677417,21.154838709677417,0,0,0.06666666666666667,6.666666666666667,Low Risk
17,45.05,770.6,42.81111111111111,42.81111111111111,0,0,0.2833333333333333,28.333333333333332,Low Risk
70,106.05,7554.05,106.39507042253521,106.39507042253521,0,1,0.39,39.0,Medium Risk
72,114.85,8317.95,113.94452054794522,113.94452054794522,0,1,0.02,2.0,Low Risk
49,30.2,1453.1,29.061999999999998,29.061999999999998,0,0,0.3233333333333333,32.33333333333333,Medium Risk
11,84.8,906.85,75.57083333333334,75.57083333333334,1,1,0.6033333333333334,60.333333333333336,Medium Risk
19,48.8,953.65,47.6825,47.6825,0,0,0.16333333333333333,16.333333333333332,Low Risk
72,84.5,6130.85,83.98424657534247,83.98424657534247,0,1,0.0,0.0,Low Risk
8,19.5,159.35,17.705555555555556,17.705555555555556,1,0,0.0033333333333333335,0.33333333333333337,Low Risk
15,91.0,1430.05,89.378125,89.378125,0,1,0.4166666666666667,41.66666666666667,Medium Risk
67,105.7,6816.95,100.24926470588235,100.24926470588235,0,1,0.16,16.0,Low Risk
26,35.4,978.6,36.24444444444445,36.24444444444445,0,0,0.16,16.0,Low Risk
2,74.85,156.4,52.13333333333333,52.13333333333333,1,1,0.54,54.0,Medium Risk
21,28.5,629.35,28.606818181818184,28.606818181818184,0,0,0.17,17.0,Low Risk
49,20.05,923.1,18.462,18.462,0,0,0.0,0.0,Low Risk
21,19.8,350.1,15.913636363636364,15.913636363636364,0,0,0.08666666666666667,8.666666666666668,Low Risk
51,69.15,3649.6,70.18461538461538,70.18461538461538,0,0,0.013333333333333334,1.3333333333333335,Low Risk
16,54.55,825.1,48.53529411764706,48.53529411764706,0,0,0.62,62.0,Medium Risk
22,89.25,1907.85,82.95,82.95,0,1,0.56,56.00000000000001,Medium Risk
13,102.25,1359.0,97.07142857142857,97.07142857142857,0,1,0.7466666666666667,74.66666666666667,High Risk
43,25.1,1070.15,24.32159090909091,24.32159090909091,0,0,0.01,1.0,Low Risk
3,89.45,240.45,60.1125,60.1125,1,1,0.4666666666666667,46.666666666666664,Medium Risk
54,90.05,4931.8,89.66909090909091,89.66909090909091,0,1,0.056666666666666664,5.666666666666666,Low Risk
1,24.2,24.2,12.1,12.1,1,0,0.8633333333333333,86.33333333333333,High Risk
69,20.55,1403.1,20.044285714285714,20.044285714285714,0,0,0.0,0.0,Low Risk
62,23.4,1429.65,22.692857142857143,22.692857142857143,0,0,0.0,0.0,Low Risk
2,90.4,168.2,56.06666666666666,56.06666666666666,1,1,0.38333333333333336,38.333333333333336,Medium Risk
62,96.1,6019.35,95.5452380952381,95.5452380952381,0,1,0.07333333333333333,7.333333333333333,Low Risk
2,44.95,85.15,28.383333333333336,28.383333333333336,1,0,0.4533333333333333,45.33333333333333,Medium Risk
69,19.9,1356.7,19.38142857142857,19.38142857142857,0,0,0.0,0.0,Low Risk
1,74.5,74.5,37.25,37.25,1,1,0.9939874554165354,99.39874554165354,High Risk
31,55.25,1715.65,53.6140625,53.6140625,0,0,0.056666666666666664,5.666666666666666,Low Risk
69,20.3,1356.3,19.375714285714285,19.375714285714285,0,0,0.0,0.0,Low Risk
2,91.45,171.45,57.15,57.15,1,1,0.6333333333333333,63.33333333333333,Medium Risk
33,70.4,2406.1,70.76764705882353,70.76764705882353,0,1,0.3233333333333333,32.33333333333333,Medium Risk
3,19.6,55.25,13.8125,13.8125,1,0,0.01,1.0,Low Risk
44,65.4,2774.55,61.65666666666667,61.65666666666667,0,0,0.12333333333333334,12.333333333333334,Low Risk
10,110.1,1043.3,94.84545454545454,94.84545454545454,1,1,0.8366666666666667,83.66666666666667,High Risk
8,75.25,576.7,64.07777777777778,64.07777777777778,1,1,0.44,44.0,Medium Risk
8,66.65,520.95,57.88333333333334,57.88333333333334,1,0,0.16,16.0,Low Risk
69,20.35,1442.65,20.609285714285715,20.609285714285715,0,0,0.0,0.0,Low Risk
23,75.6,1758.6,73.27499999999999,73.27499999999999,0,1,0.16333333333333333,16.333333333333332,Low Risk
66,25.1,1697.7,25.338805970149256,25.338805970149256,0,0,0.0,0.0,Low Risk
1,102.45,102.45,51.225,51.225,1,1,0.9433333333333334,94.33333333333334,High Risk
3,19.95,58.0,14.5,14.5,1,0,0.26666666666666666,26.666666666666668,Low Risk
5,51.0,286.8,47.800000000000004,47.800000000000004,1,0,0.48,48.0,Medium Risk
1,51.2,51.2,25.6,25.6,1,0,0.7058821764626658,70.58821764626659,High Risk
9,77.65,714.15,71.41499999999999,71.41499999999999,1,1,0.14,14.000000000000002,Low Risk
36,63.7,2188.5,59.148648648648646,59.148648648648646,0,0,0.08,8.0,Low Risk
68,85.5,5696.6,82.55942028985508,82.55942028985508,0,1,0.11666666666666667,11.666666666666666,Low Risk
35,40.9,1383.6,38.43333333333333,38.43333333333333,0,0,0.03666666666666667,3.6666666666666665,Low Risk
60,20.55,1205.05,19.754918032786886,19.754918032786886,0,0,0.0,0.0,Low Risk
72,74.55,5430.65,74.39246575342466,74.39246575342466,0,1,0.006666666666666667,0.6666666666666667,Low Risk
45,20.4,930.45,20.22717391304348,20.22717391304348,0,0,0.0,0.0,Low Risk
37,91.2,3247.55,85.46184210526316,85.46184210526316,0,1,0.10666666666666667,10.666666666666668,Low Risk
7,50.7,350.35,43.79375,43.79375,1,0,0.31333333333333335,31.333333333333336,Medium Risk
4,50.7,151.3,30.26,30.26,1,0,0.21,21.0,Low Risk
1,54.9,54.9,27.45,27.45,1,0,0.9333333333333333,93.33333333333333,High Risk
4,60.4,272.15,54.42999999999999,54.42999999999999,1,0,0.19666666666666666,19.666666666666664,Low Risk
18,49.55,878.35,46.22894736842105,46.22894736842105,0,0,0.4166666666666667,41.66666666666667,Medium Risk
12,74.05,872.65,67.12692307692308,67.12692307692308,0,1,0.35333333333333333,35.333333333333336,Medium Risk
1,80.05,80.05,40.025,40.025,1,1,1.0,100.0,High Risk
72,25.0,1738.9,23.82054794520548,23.82054794520548,0,0,0.0,0.0,Low Risk
42,20.25,835.5,19.430232558139537,19.430232558139537,0,0,0.0,0.0,Low Risk
24,76.1,1712.7,68.508,68.508,0,1,0.18333333333333332,18.333333333333332,Low Risk
26,78.95,2034.25,75.3425925925926,75.3425925925926,0,1,0.29,28.999999999999996,Low Risk
68,73.0,5163.0,74.82608695652173,74.82608695652173,0,1,0.09,9.0,Low Risk
17,19.9,323.15,17.952777777777776,17.952777777777776,0,0,0.09333333333333334,9.333333333333334,Low Risk
59,111.1,6555.2,109.25333333333333,109.25333333333333,0,1,0.043333333333333335,4.333333333333334,Low Risk
13,74.4,896.75,64.05357142857143,64.05357142857143,0,1,0.14,14.000000000000002,Low Risk
2,20.45,42.45,14.15,14.15,1,0,0.02,2.0,Low Risk
67,19.65,1335.2,19.63529411764706,19.63529411764706,0,0,0.0033333333333333335,0.33333333333333337,Low Risk
17,20.05,337.9,18.772222222222222,18.772222222222222,0,0,0.02666666666666667,2.666666666666667,Low Risk
71,80.1,5585.4,77.57499999999999,77.57499999999999,0,1,0.013333333333333334,1.3333333333333335,Low Risk
17,98.6,1704.95,94.71944444444445,94.71944444444445,0,1,0.41333333333333333,41.333333333333336,Medium Risk
1,89.55,89.55,44.775,44.775,1,1,0.28,28.000000000000004,Low Risk
6,19.7,94.45,13.492857142857144,13.492857142857144,1,0,0.0033333333333333335,0.33333333333333337,Low Risk
61,114.1,7132.15,115.03467741935484,115.03467741935484,0,1,0.09,9.0,Low Risk
6,73.85,401.3,57.32857142857143,57.32857142857143,1,1,0.7333333333333333,73.33333333333333,High Risk
1,25.05,25.05,12.525,12.525,1,0,0.35594842233194024,35.59484223319402,Medium Risk
