tenure,MonthlyCharges,TotalCharges,AvgMonthlyCharge,ChargePerTenure,IsNewCustomer,HighMonthlyCharge,Churn_Probability,Churn_Risk_Percentage,Risk_Level
8,100.15,908.55,100.94999999999999,100.94999999999999,1,1,0.7833333333333333,78.33333333333333,High Risk
21,99.85,1992.55,90.57045454545454,90.57045454545454,0,1,0.8933333333333333,89.33333333333333,High Risk
21,99.15,1956.4,88.92727272727274,88.92727272727274,0,1,0.7266666666666667,72.66666666666667,High Risk
13,102.25,1359.0,97.07142857142857,97.07142857142857,0,1,0.7466666666666667,74.66666666666667,High Risk
1,24.2,24.2,12.1,12.1,1,0,0.8633333333333333,86.33333333333333,High Risk
1,74.5,74.5,37.25,37.25,1,1,0.9939874554165354,99.39874554165354,High Risk
10,110.1,1043.3,94.84545454545454,94.84545454545454,1,1,0.8366666666666667,83.66666666666667,High Risk
1,102.45,102.45,51.225,51.225,1,1,0.9433333333333334,94.33333333333334,High Risk
1,51.2,51.2,25.6,25.6,1,0,0.7058821764626658,70.58821764626659,High Risk
1,54.9,54.9,27.45,27.45,1,0,0.9333333333333333,93.33333333333333,High Risk
1,80.05,80.05,40.025,40.025,1,1,1.0,100.0,High Risk
6,73.85,401.3,57.32857142857143,57.32857142857143,1,1,0.7333333333333333,73.33333333333333,High Risk
1,45.95,45.95,22.975,22.975,1,0,0.897960925824374,89.79609258243741,High Risk
5,69.95,320.4,53.4,53.4,1,0,0.8266666666666667,82.66666666666667,High Risk
1,25.2,25.2,12.6,12.6,1,0,0.7869698094733222,78.69698094733222,High Risk
1,24.8,24.8,12.4,12.4,1,0,0.9433333333333334,94.33333333333334,High Risk
1,76.35,76.35,38.175,38.175,1,1,0.9966666666666667,99.66666666666667,High Risk
1,79.5,79.5,39.75,39.75,1,1,0.9966666666666667,99.66666666666667,High Risk
5,69.95,330.15,55.025,55.025,1,0,0.86,86.0,High Risk
25,89.05,2177.45,83.74807692307692,83.74807692307692,0,1,0.73,73.0,High Risk
24,104.25,2433.9,97.35600000000001,97.35600000000001,0,1,0.7333333333333333,73.33333333333333,High Risk
1,74.5,74.5,37.25,37.25,1,1,0.9939874554165354,99.39874554165354,High Risk
4,76.05,318.9,63.779999999999994,63.779999999999994,1,1,0.76,76.0,High Risk
2,30.4,78.65,26.21666666666667,26.21666666666667,1,0,0.7957985544674148,79.57985544674148,High Risk
13,98.15,1230.25,87.875,87.875,0,1,0.74,74.0,High Risk
5,84.5,453.75,75.625,75.625,1,1,0.9366666666666666,93.66666666666667,High Risk
1,73.5,73.5,36.75,36.75,1,1,0.99,99.0,High Risk
1,48.6,48.6,24.3,24.3,1,0,0.9166666666666666,91.66666666666666,High Risk
1,25.85,25.85,12.925,12.925,1,0,0.7708766852221071,77.0876685222107,High Risk
6,85.95,514.6,73.51428571428572,73.51428571428572,1,1,0.9366666666666666,93.66666666666667,High Risk
1,85.55,85.55,42.775,42.775,1,1,1.0,100.0,High Risk
1,88.35,88.35,44.175,44.175,1,1,0.97,97.0,High Risk
1,19.9,19.9,9.95,9.95,1,0,0.801084132107172,80.1084132107172,High Risk
4,90.4,356.65,71.33,71.33,1,1,0.8,80.0,High Risk
4,76.65,333.6,66.72,66.72,1,1,0.7066666666666667,70.66666666666667,High Risk
2,70.35,139.25,46.416666666666664,46.416666666666664,1,0,0.7333333333333333,73.33333333333333,High Risk
1,50.45,50.45,25.225,25.225,1,0,0.9966666666666667,99.66666666666667,High Risk
1,69.55,69.55,34.775,34.775,1,0,1.0,100.0,High Risk
1,85.0,85.0,42.5,42.5,1,1,0.9856977282567455,98.56977282567455,High Risk
17,100.45,1622.45,90.13611111111112,90.13611111111112,0,1,0.7133333333333334,71.33333333333334,High Risk
10,94.9,1048.85,95.35,95.35,1,1,0.8,80.0,High Risk
6,87.95,522.35,74.62142857142858,74.62142857142858,1,1,0.9533333333333334,95.33333333333334,High Risk
25,105.5,2686.05,103.3096153846154,103.3096153846154,0,1,0.7,70.0,High Risk
1,45.85,45.85,22.925,22.925,1,0,0.7285561603681314,72.85561603681315,High Risk
11,111.4,1183.05,98.58749999999999,98.58749999999999,1,1,0.82,82.0,High Risk
2,80.95,171.15,57.050000000000004,57.050000000000004,1,1,0.7033333333333334,70.33333333333334,High Risk
2,55.3,108.65,36.21666666666667,36.21666666666667,1,0,0.7633333333333333,76.33333333333333,High Risk
4,84.6,360.1,72.02000000000001,72.02000000000001,1,1,0.7433333333333333,74.33333333333333,High Risk
1,19.45,19.45,9.725,9.725,1,0,0.7690305595521305,76.90305595521305,High Risk
1,80.0,80.0,40.0,40.0,1,1,1.0,100.0,High Risk
5,85.4,425.9,70.98333333333333,70.98333333333333,1,1,0.7433333333333333,74.33333333333333,High Risk
16,96.4,1581.2,93.01176470588236,93.01176470588236,0,1,0.7633333333333333,76.33333333333333,High Risk
1,48.75,48.75,24.375,24.375,1,0,0.9533333333333334,95.33333333333334,High Risk
14,90.45,1266.1,84.40666666666667,84.40666666666667,0,1,0.71,71.0,High Risk
8,95.65,778.1,86.45555555555556,86.45555555555556,1,1,0.92,92.0,High Risk
1,71.65,71.65,35.825,35.825,1,1,0.9866666666666667,98.66666666666667,High Risk
9,99.3,918.75,91.875,91.875,1,1,0.9666666666666667,96.66666666666667,High Risk
1,76.45,76.45,38.225,38.225,1,1,0.9966666666666667,99.66666666666667,High Risk
3,96.6,291.9,72.975,72.975,1,1,0.7733333333333333,77.33333333333333,High Risk
1,69.9,69.9,34.95,34.95,1,0,0.978786078191254,97.87860781912539,High Risk
1,75.3,75.3,37.65,37.65,1,1,0.9702060989437128,97.02060989437128,High Risk
3,85.3,264.8,66.2,66.2,1,1,0.88,88.0,High Risk
2,50.3,92.75,30.916666666666668,30.916666666666668,1,0,0.83826646567718,83.826646567718,High Risk
9,74.85,708.2,70.82000000000001,70.82000000000001,1,1,0.7033333333333334,70.33333333333334,High Risk
28,91.0,2626.15,90.55689655172414,90.55689655172414,0,1,0.8433333333333334,84.33333333333334,High Risk
1,95.65,95.65,47.825,47.825,1,1,0.7566666666666667,75.66666666666667,High Risk
4,99.8,442.85,88.57000000000001,88.57000000000001,1,1,0.7933333333333333,79.33333333333333,High Risk
17,83.55,1329.15,73.84166666666667,73.84166666666667,0,1,0.7133333333333334,71.33333333333334,High Risk
7,94.05,633.45,79.18125,79.18125,1,1,0.8233333333333334,82.33333333333334,High Risk
1,79.15,79.15,39.575,39.575,1,1,1.0,100.0,High Risk
4,90.65,367.95,73.59,73.59,1,1,0.9733333333333334,97.33333333333334,High Risk
1,69.1,69.1,34.55,34.55,1,0,1.0,100.0,High Risk
6,90.75,512.25,73.17857142857143,73.17857142857143,1,1,0.8833333333333333,88.33333333333333,High Risk
1,71.0,71.0,35.5,35.5,1,1,0.8713606749641493,87.13606749641492,High Risk
19,100.95,1875.55,93.7775,93.7775,0,1,0.7,70.0,High Risk
1,84.85,84.85,42.425,42.425,1,1,0.9856977282567455,98.56977282567455,High Risk
22,100.05,2090.25,90.8804347826087,90.8804347826087,0,1,0.89,89.0,High Risk
1,78.8,78.8,39.4,39.4,1,1,1.0,100.0,High Risk
2,85.7,169.8,56.6,56.6,1,1,0.7666666666666667,76.66666666666667,High Risk
1,20.1,20.1,10.05,10.05,1,0,0.9793925129854089,97.93925129854088,High Risk
1,75.7,75.7,37.85,37.85,1,1,0.8533333333333334,85.33333333333334,High Risk
5,84.0,424.75,70.79166666666667,70.79166666666667,1,1,0.7133333333333334,71.33333333333334,High Risk
1,69.5,69.5,34.75,34.75,1,0,1.0,100.0,High Risk
2,75.55,166.3,55.43333333333334,55.43333333333334,1,1,0.8033333333333333,80.33333333333333,High Risk
4,73.9,280.85,56.17,56.17,1,1,0.7566666666666667,75.66666666666667,High Risk
3,80.0,241.3,60.325,60.325,1,1,0.7333333333333333,73.33333333333333,High Risk
1,90.85,90.85,45.425,45.425,1,1,0.9966666666666667,99.66666666666667,High Risk
1,50.5,50.5,25.25,25.25,1,0,0.9966666666666667,99.66666666666667,High Risk
2,84.05,186.05,62.01666666666667,62.01666666666667,1,1,0.8021619786361618,80.21619786361617,High Risk
6,94.05,518.75,74.10714285714286,74.10714285714286,1,1,0.9733333333333334,97.33333333333334,High Risk
1,45.1,45.1,22.55,22.55,1,0,0.9852722477072522,98.52722477072521,High Risk
1,70.0,70.0,35.0,35.0,1,0,0.9542258471876971,95.42258471876971,High Risk
1,45.95,45.95,22.975,22.975,1,0,0.897960925824374,89.79609258243741,High Risk
1,19.95,19.95,9.975,9.975,1,0,0.7944296969143416,79.44296969143416,High Risk
3,35.1,101.1,25.275,25.275,1,0,0.78,78.0,High Risk
1,79.35,79.35,39.675,39.675,1,1,1.0,100.0,High Risk
2,94.2,193.8,64.60000000000001,64.60000000000001,1,1,0.8866666666666667,88.66666666666667,High Risk
2,67.75,116.65,38.88333333333333,38.88333333333333,1,0,0.7633333333333333,76.33333333333333,High Risk
1,85.0,85.0,42.5,42.5,1,1,0.9856977282567455,98.56977282567455,High Risk
17,85.35,1463.45,81.30277777777778,81.30277777777778,0,1,0.8033333333333333,80.33333333333333,High Risk
4,72.75,317.75,63.55,63.55,1,1,0.7966666666666666,79.66666666666666,High Risk
1,50.45,50.45,25.225,25.225,1,0,0.9966666666666667,99.66666666666667,High Risk
10,85.6,813.85,73.98636363636363,73.98636363636363,1,1,0.75,75.0,High Risk
21,103.85,2215.0,100.68181818181819,100.68181818181819,0,1,0.86,86.0,High Risk
14,87.25,1258.6,83.90666666666667,83.90666666666667,0,1,0.7666666666666667,76.66666666666667,High Risk
13,89.4,1132.35,80.88214285714285,80.88214285714285,0,1,0.7933333333333333,79.33333333333333,High Risk
1,19.9,19.9,9.95,9.95,1,0,0.801084132107172,80.1084132107172,High Risk
5,90.35,434.5,72.41666666666667,72.41666666666667,1,1,0.74,74.0,High Risk
1,71.0,71.0,35.5,35.5,1,1,0.8713606749641493,87.13606749641492,High Risk
4,74.4,306.6,61.32000000000001,61.32000000000001,1,1,0.9166666666666666,91.66666666666666,High Risk
1,95.1,95.1,47.55,47.55,1,1,0.98,98.0,High Risk
1,85.05,85.05,42.525,42.525,1,1,0.993776331987904,99.3776331987904,High Risk
1,74.25,74.25,37.125,37.125,1,1,0.8483083219390811,84.83083219390811,High Risk
2,75.8,160.75,53.583333333333336,53.583333333333336,1,1,0.9566666666666667,95.66666666666667,High Risk
19,105.0,2007.25,100.3625,100.3625,0,1,0.78,78.0,High Risk
9,94.4,857.25,85.725,85.725,1,1,0.8866666666666667,88.66666666666667,High Risk
2,94.2,167.5,55.833333333333336,55.833333333333336,1,1,0.8533333333333334,85.33333333333334,High Risk
21,95.4,2025.1,92.05,92.05,0,1,0.7133333333333334,71.33333333333334,High Risk
15,86.2,1270.2,79.3875,79.3875,0,1,0.7266666666666667,72.66666666666667,High Risk
7,99.25,665.45,83.18125,83.18125,1,1,0.8766666666666667,87.66666666666667,High Risk
1,35.55,35.55,17.775,17.775,1,0,0.9553900187271398,95.53900187271398,High Risk
10,98.9,1064.95,96.81363636363636,96.81363636363636,1,1,0.9633333333333334,96.33333333333334,High Risk
4,89.2,346.2,69.24,69.24,1,1,0.78,78.0,High Risk
2,79.0,143.65,47.88333333333333,47.88333333333333,1,1,0.7866666666666666,78.66666666666666,High Risk
1,45.8,45.8,22.9,22.9,1,0,0.9724268569054205,97.24268569054205,High Risk
1,95.45,95.45,47.725,47.725,1,1,0.7533333333333333,75.33333333333333,High Risk
1,69.9,69.9,34.95,34.95,1,0,0.978786078191254,97.87860781912539,High Risk
1,77.15,77.15,38.575,38.575,1,1,0.9966666666666667,99.66666666666667,High Risk
2,70.65,142.35,47.449999999999996,47.449999999999996,1,1,0.88,88.0,High Risk
1,69.6,69.6,34.8,34.8,1,0,1.0,100.0,High Risk
3,55.8,154.55,38.6375,38.6375,1,0,0.7433333333333333,74.33333333333333,High Risk
